"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Taveras, Leody",665750,2022,23,314,341,61,14,2,5,88,21,25.8,6.2,".261",".366",".309","0.675","0.105",".344","5","11","2","0","3",".297","29.3"
"Lewis, Royce",668904,2022,23,40,41,6,4,0,2,5,1,12.2,2.4,".300",".550",".317","0.867","0.250",".303","0","0","0","0","0",".370","28.4"
"India, Jonathan",663697,2022,25,386,431,68,16,2,10,94,31,21.8,7.2,".249",".378",".327","0.705","0.129",".305","4","3","14","1","0",".314","27.7"
"Buxton, Byron",621439,2022,28,340,382,32,13,3,28,116,34,30.4,8.9,".224",".526",".306","0.832","0.302",".244","0","6","7","0","1",".356","29.1"
"Zunino, Mike",572287,2022,31,115,123,9,3,0,5,46,6,37.4,4.9,".148",".304",".195","0.499","0.156",".185","0","0","1","0","1",".219","25.7"
"Torkelson, Spencer",679529,2022,22,360,404,48,16,1,8,99,37,24.5,9.2,".203",".319",".285","0.604","0.116",".255","1","0","5","0","2",".272","27.8"
"Nido, Tomás",621512,2022,28,284,313,50,15,0,3,76,14,24.3,4.5,".239",".324",".276","0.600","0.085",".314","0","0","1","0","2",".265","25.6"
"Abrams, CJ",682928,2022,21,284,302,54,12,2,2,50,5,16.6,1.7,".246",".324",".280","0.604","0.078",".291","4","7","9","0","2",".267","29.0"
"Garcia, Dérmis",660650,2022,24,116,125,13,6,0,5,55,8,44,6.4,".207",".388",".264","0.652","0.181",".339","0","0","1","0","0",".285","27.4"
"Moore, Dylan",664238,2022,29,205,255,27,11,2,6,75,34,29.4,13.3,".224",".385",".368","0.753","0.161",".320","8","21","13","2","1",".338","28.3"
"Rengifo, Luis",650859,2022,25,489,511,86,22,4,17,79,17,15.5,3.3,".264",".429",".294","0.723","0.165",".285","2","6","4","0","0",".314","27.9"
"Brown, Seth",664913,2022,29,500,555,61,26,3,25,146,51,26.3,9.2,".230",".444",".305","0.749","0.214",".273","2","11","3","3","1",".323","27.8"
"Nola, Austin",543592,2022,32,347,397,68,15,0,4,60,34,15.1,8.6,".251",".329",".321","0.650","0.078",".284","1","2","6","1","9",".290","26.4"
"Tapia, Raimel",606132,2022,28,411,433,79,20,3,7,81,16,18.7,3.7,".265",".380",".292","0.672","0.115",".315","2","8","0","0","1",".293","28.2"
