"last_name, first_name","player_id","year","player_age","pa","single","double","triple","home_run","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_intent_walk","b_sac_fly","woba"
"Lopez, Nicky",670032,2021,26,565,120,21,6,2,49,13.1,8.7,".300",".378",".365","0.743","0.078",".347","0","3",".329"
"Blackmon, Charlie",453568,2020,33,247,48,12,1,6,19,17.8,7.7,".303",".448",".356","0.804","0.145",".347","4","5",".340"
"Hilliard, Sam",656541,2022,28,200,23,6,1,2,23,28.5,11.5,".184",".264",".280","0.544","0.080",".256","0","2",".251"
"Chisholm Jr., Jazz",665862,2022,24,241,26,10,4,14,21,27.4,8.7,".254",".535",".325","0.860","0.281",".294","0","3",".365"
"Long Jr., Shed",643418,2020,24,128,12,5,0,3,11,28.9,8.6,".171",".291",".242","0.533","0.120",".221","0","0",".238"
"Buehler, Walker",621111,2021,26,82,5,2,0,0,5,54.9,6.1,".101",".130",".162","0.292","0.029",".292","0","0",".140"
"Martinez, J.D.",502110,2021,33,634,90,42,3,28,55,23.7,8.7,".286",".518",".349","0.867","0.232",".340","6","5",".364"
"Yepez, Juan",660766,2022,24,274,39,13,0,12,16,22.3,5.8,".253",".447",".296","0.743","0.194",".283","0","4",".319"
"Paredes, Isaac",670623,2020,21,108,17,4,0,1,8,22.2,7.4,".220",".290",".278","0.568","0.070",".280","0","0",".255"
"Heredia, Guillermo",628338,2022,31,82,5,3,1,3,6,39,7.3,".158",".342",".220","0.562","0.184",".220","0","0",".246"
"Neuse, Sheldon",641914,2021,26,66,7,1,0,3,1,39.4,1.5,".169",".323",".182","0.505","0.154",".222","0","0",".214"
"Smith, Dominic",642086,2022,27,152,15,10,1,0,12,24.3,7.9,".194",".284",".276","0.560","0.090",".263","0","2",".254"
"Hoerner, Nico",663538,2020,23,126,20,4,0,0,12,19,9.5,".222",".259",".312","0.571","0.037",".279","0","2",".265"
"Profar, Jurickson",595777,2022,29,658,87,36,2,15,73,15.7,11.1,".243",".391",".331","0.722","0.148",".272","0","3",".320"
"Odor, Rougned",596059,2020,26,148,9,4,0,10,7,31.8,4.7,".167",".413",".209","0.622","0.246",".157","0","2",".259"
"Marcano, Tucupita",672779,2021,21,50,7,1,0,0,6,18,12,".182",".205",".280","0.485","0.023",".229","0","0",".231"
"Contreras, William",661388,2021,23,185,22,4,1,8,19,29.2,10.3,".215",".399",".303","0.702","0.184",".265","1","1",".303"
"Hernández, Teoscar",606192,2020,27,207,32,7,0,16,14,30.4,6.8,".289",".579",".340","0.919","0.290",".348","0","1",".384"
"Haniger, Mitch",571745,2021,30,691,93,23,2,39,54,24.5,7.8,".253",".485",".318","0.803","0.232",".281","2","8",".340"
"Edman, Tommy",669242,2020,25,227,38,7,1,5,16,21.1,7,".250",".368",".317","0.685","0.118",".301","0","2",".302"
"Inciarte, Ender",542255,2021,30,89,13,2,0,2,7,24.7,7.9,".215",".316",".276","0.592","0.101",".268","0","1",".262"
"Cabrera, Miguel",408234,2020,37,231,37,4,0,10,24,22.1,10.4,".250",".417",".329","0.746","0.167",".283","1","2",".323"
"Taylor, Tyrone",621438,2021,27,271,36,9,3,12,20,21.8,7.4,".247",".457",".321","0.778","0.210",".277","1","1",".333"
"McCann, James",543510,2022,32,191,25,6,0,3,11,24.1,5.8,".195",".282",".257","0.539","0.087",".244","0","2",".243"
"Trejo, Alan",676701,2022,26,125,22,6,0,4,5,24.8,4,".271",".424",".312","0.736","0.153",".337","0","0",".321"
"Soto, Juan",665742,2021,22,654,106,20,2,29,145,14.2,22.2,".313",".534",".465","0.999","0.221",".332","23","5",".420"
"Kiner-Falefa, Isiah",643396,2021,26,677,136,25,3,8,28,13.3,4.1,".271",".357",".312","0.669","0.086",".304","2","2",".293"
"VanMeter, Josh",642165,2021,26,310,33,17,2,6,33,26.8,10.6,".212",".354",".297","0.651","0.142",".278","0","2",".287"
"Zunino, Mike",572287,2021,30,375,26,11,2,33,34,35.2,9.1,".216",".559",".301","0.860","0.343",".231","0","1",".358"
"Ward, Taylor",621493,2022,28,564,92,22,2,23,60,21.3,10.6,".281",".473",".360","0.833","0.192",".325","0","5",".362"
"Torrens, Luis",620443,2021,25,378,51,16,2,15,28,26.2,7.4,".243",".431",".299","0.730","0.188",".294","1","3",".311"
"Reyes, Pablo",622569,2021,27,87,14,5,0,1,9,17.2,10.3,".256",".359",".333","0.692","0.103",".306","1","0",".303"
"Tucker, Kyle",663656,2022,25,609,81,28,1,30,59,15.6,9.7,".257",".478",".330","0.808","0.221",".261","4","2",".348"
"Pache, Cristian",665506,2022,23,260,30,5,2,3,15,26.9,5.8,".166",".241",".218","0.459","0.075",".220","0","0",".207"
"Reyes, Victor",622682,2020,25,213,43,7,2,4,9,21.1,4.2,".277",".391",".315","0.706","0.114",".340","0","0",".307"
"Devers, Rafael",646240,2020,23,248,33,16,1,11,13,27,5.2,".263",".483",".310","0.793","0.220",".325","0","0",".337"
"Díaz, Elias",553869,2022,31,381,51,18,2,9,25,21.5,6.6,".228",".368",".281","0.649","0.140",".270","0","3",".284"
"Ruiz, Keibert",660688,2021,22,96,18,3,0,3,6,9.4,6.3,".273",".409",".333","0.742","0.136",".276","0","0",".325"
"Culberson, Charlie",518586,2022,33,124,21,6,0,2,5,25,4,".252",".357",".283","0.640","0.105",".329","0","0",".281"
"Vázquez, Christian",543877,2020,29,189,33,9,0,7,16,22.8,8.5,".283",".457",".344","0.801","0.174",".341","0","0",".346"
"Dalbec, Bobby",666915,2021,26,453,49,21,5,25,28,34.4,6.2,".240",".494",".298","0.792","0.254",".316","1","1",".334"
"Vogt, Stephen",519390,2022,37,191,15,4,1,7,17,24.1,8.9,".161",".321",".241","0.562","0.160",".168","0","4",".249"
"Schwarber, Kyle",656941,2022,29,669,56,21,3,46,86,29.9,12.9,".218",".504",".323","0.827","0.286",".240","3","2",".355"
"Clemens, Kody",665019,2022,26,127,8,4,0,5,8,26,6.3,".145",".308",".197","0.505","0.163",".148","0","2",".220"
"Murphy, Daniel",502517,2020,35,132,23,3,0,3,7,15.9,5.3,".236",".333",".275","0.608","0.097",".260","2","1",".259"
"Castro, Starlin",516770,2020,30,63,10,3,1,2,3,20.6,4.8,".267",".450",".302","0.752","0.183",".311","0","0",".320"
"Mountcastle, Ryan",663624,2022,25,609,88,28,1,22,43,25.3,7.1,".250",".423",".305","0.728","0.173",".303","1","7",".316"
"Castillo, Diego",660636,2022,24,283,30,13,0,11,14,26.5,4.9,".206",".382",".251","0.633","0.176",".239","1","4",".272"
"Mendick, Danny",664901,2021,27,186,29,5,0,2,18,22.6,9.7,".220",".287",".303","0.590","0.067",".281","0","1",".268"
"Mullins II, Cedric",656775,2020,25,153,28,4,3,3,8,24.2,5.2,".271",".407",".315","0.722","0.136",".350","0","0",".313"
"Velazquez, Andrew",623205,2022,27,349,46,8,0,9,15,34.1,4.3,".196",".304",".236","0.540","0.108",".274","0","3",".239"
"Velazquez, Andrew",623205,2021,26,68,9,4,1,1,1,33.8,1.5,".224",".358",".235","0.593","0.134",".326","0","0",".252"
"Madris, Bligh",676632,2022,26,123,12,7,0,1,10,25.2,8.1,".177",".265",".244","0.509","0.088",".235","0","0",".231"
"Velázquez, Nelson",676369,2022,23,206,22,7,3,6,19,31.6,9.2,".205",".373",".286","0.659","0.168",".281","0","0",".291"
"McCutchen, Andrew",457705,2020,33,241,36,9,0,10,22,19.9,9.1,".253",".433",".324","0.757","0.180",".281","0","1",".327"
"LeMahieu, DJ",518934,2022,33,541,92,18,0,12,67,13.1,12.4,".261",".377",".357","0.734","0.116",".285","0","2",".329"
"Reynolds, Bryan",668804,2021,26,646,102,35,8,24,75,18.4,11.6,".302",".522",".390","0.912","0.220",".345","9","4",".385"
"Jiménez, Eloy",650391,2022,25,327,58,12,0,16,28,22,8.6,".295",".500",".358","0.858","0.205",".337","0","4",".370"
"Martinez, J.D.",502110,2022,34,596,86,43,1,16,52,24.3,8.7,".274",".448",".341","0.789","0.174",".345","1","5",".343"
"Reynolds, Bryan",668804,2022,27,614,92,19,4,27,56,23,9.1,".262",".461",".345","0.806","0.199",".306","6","2",".349"
"Trout, Mike",545361,2020,28,241,28,9,2,17,35,23.2,14.5,".281",".603",".390","0.993","0.322",".300","4","4",".407"
"Knizner, Andrew",668800,2021,26,185,20,7,0,1,20,21.1,10.8,".174",".236",".281","0.517","0.062",".223","2","0",".238"
"Lin, Tzu-Wei",624407,2020,26,57,7,1,0,0,2,29.8,3.5,".154",".173",".182","0.355","0.019",".222","0","1",".160"
"Estrada, Thairo",642731,2020,24,52,7,0,0,1,1,36.5,1.9,".167",".229",".231","0.460","0.062",".250","0","0",".212"
"India, Jonathan",663697,2021,24,631,86,34,2,21,71,22.3,11.3,".269",".459",".376","0.835","0.190",".326","1","4",".363"
"Avila, Alex",488671,2020,33,62,6,2,0,1,11,35.5,17.7,".184",".286",".355","0.641","0.102",".308","0","0",".305"
"Laureano, Ramón",657656,2021,26,378,47,21,2,14,27,25.9,7.1,".246",".443",".317","0.760","0.197",".304","0","1",".327"
"McCormick, Chas",676801,2021,26,320,47,12,0,14,25,32.5,7.8,".257",".447",".319","0.766","0.190",".341","0","7",".327"
"Arenado, Nolan",571448,2022,31,620,90,42,1,30,52,11.6,8.4,".293",".533",".358","0.891","0.240",".290","3","4",".381"
"Tellez, Rowdy",642133,2022,27,599,58,23,0,35,62,20.2,10.4,".219",".461",".306","0.767","0.242",".215","9","3",".327"
"Chisholm Jr., Jazz",665862,2021,23,507,73,20,4,18,34,28.6,6.7,".248",".425",".303","0.728","0.177",".319","0","3",".312"
"Turner, Justin",457759,2021,36,612,99,22,0,27,61,16,10,".278",".471",".361","0.832","0.193",".292","0","6",".358"
"Fried, Max",608331,2021,27,67,12,3,0,0,4,26.9,6,".273",".327",".322","0.649","0.054",".405","0","0",".289"
"Lewis, Kyle",641786,2020,24,242,40,3,0,11,34,29.3,14,".262",".437",".364","0.801","0.175",".341","0","2",".349"
"Gordon, Nick",624503,2021,25,216,34,9,1,4,12,25.5,5.6,".240",".355",".292","0.647","0.115",".310","0","1",".283"
"Villar, David",681584,2022,25,181,20,6,1,9,18,32,9.9,".231",".455",".331","0.786","0.224",".300","0","1",".344"
"Castro, Harold",605612,2022,28,443,84,21,2,7,17,17.8,3.8,".271",".381",".300","0.681","0.110",".318","1","2",".297"
"Ward, Taylor",621493,2021,27,237,29,15,0,8,20,23.2,8.4,".250",".438",".332","0.770","0.188",".301","0","1",".333"
"Ramírez, Harold",623912,2021,26,361,62,21,1,7,14,15.5,3.9,".268",".398",".305","0.703","0.130",".301","1","3",".302"
"Bradley Jr., Jackie",598265,2022,32,370,42,23,1,4,24,20.8,6.5,".203",".311",".255","0.566","0.108",".251","0","0",".252"
"Peralta, David",444482,2022,34,490,65,30,3,12,41,23.3,8.4,".251",".415",".316","0.731","0.164",".307","5","6",".315"
"Marte, Ketel",606466,2021,27,374,64,29,1,14,31,16,8.3,".318",".532",".377","0.909","0.214",".352","3","1",".385"
"Galvis, Freddy",520471,2021,31,394,56,15,1,14,27,19.5,6.9,".242",".407",".302","0.709","0.165",".269","1","3",".305"
"Zavala, Seby",664874,2021,27,104,9,3,0,5,6,39.4,5.8,".183",".376",".240","0.616","0.193",".255","0","0",".265"
"Trejo, Alan",676701,2021,25,50,7,2,0,1,3,30,6,".217",".326",".260","0.586","0.109",".290","1","1",".245"
"Ramírez, Harold",623912,2022,27,435,91,24,0,6,19,16.6,4.4,".300",".404",".343","0.747","0.104",".350","1","4",".327"
"Moreno, Gabriel",672515,2022,22,73,20,1,0,1,4,11,5.5,".319",".377",".356","0.733","0.058",".350","0","0",".326"
"Benintendi, Andrew",643217,2022,27,521,109,23,3,5,52,14.8,10,".304",".399",".373","0.772","0.095",".352","0","5",".342"
"Mitchell, Cal",668751,2022,23,232,32,11,0,5,18,22.4,7.8,".226",".349",".286","0.635","0.123",".276","0","1",".281"
"Pasquantino, Vinnie",686469,2022,24,298,56,10,0,10,35,11.4,11.7,".295",".450",".383","0.833","0.155",".306","1","2",".365"
"Mayfield, Jack",608686,2022,31,74,10,1,1,1,3,23,4.1,".186",".271",".230","0.501","0.085",".231","0","0",".224"
"Pinder, Chad",640461,2022,30,379,55,18,0,12,14,31.1,3.7,".235",".385",".263","0.648","0.150",".313","0","2",".281"
"Bradley Jr., Jackie",598265,2020,30,217,36,11,0,7,23,22.1,10.6,".283",".450",".364","0.814","0.167",".343","1","1",".352"
"Peterson, Jace",607054,2022,32,328,44,14,2,8,33,25.9,10.1,".236",".382",".316","0.698","0.146",".303","2","3",".306"
"Muñoz, Yairo",622168,2022,27,60,7,2,0,3,3,16.7,5,".211",".404",".250","0.654","0.193",".205","0","0",".283"
"McCormick, Chas",676801,2022,27,407,60,12,2,14,46,26,11.3,".245",".407",".332","0.739","0.162",".308","0","1",".326"
"Betts, Mookie",605141,2022,29,639,76,40,3,35,55,16.3,8.6,".269",".533",".340","0.873","0.264",".272","0","4",".373"
"Nuñez, Dom",624513,2021,26,263,18,12,3,10,34,34.6,12.9,".189",".399",".293","0.692","0.210",".258","4","1",".294"
"Alfaro, Jorge",595751,2021,28,311,52,15,1,4,11,31.8,3.5,".244",".342",".283","0.625","0.098",".354","0","0",".274"
"Lopez, Nicky",670032,2022,27,480,83,12,4,0,29,13.1,6,".227",".273",".281","0.554","0.046",".265","0","1",".251"
"Zimmer, Bradley",605548,2020,27,50,5,0,0,1,7,28,14,".162",".243",".360","0.603","0.081",".217","0","1",".299"
"Hill, Derek",656537,2022,26,92,16,2,0,1,5,30.4,5.4,".229",".289",".270","0.559","0.060",".327","0","1",".249"
"Yastrzemski, Mike",573262,2022,31,558,54,31,2,17,61,25.3,10.9,".214",".392",".305","0.697","0.178",".261","0","6",".307"
"Perez, Salvador",521692,2021,31,665,97,24,0,48,28,25.6,4.2,".273",".544",".316","0.860","0.271",".298","4","4",".359"
"Harrison, Monte",656509,2020,24,51,6,1,0,1,4,51,7.8,".170",".255",".235","0.490","0.085",".350","0","0",".222"
"Escobar, Eduardo",500871,2021,32,599,80,26,5,28,48,20.7,8,".253",".472",".314","0.786","0.219",".279","1","1",".334"
"Smith, Kevan",607345,2021,33,106,13,3,0,0,10,29.2,9.4,".168",".200",".248","0.448","0.032",".250","3","0",".196"
"Vavra, Terrin",679631,2022,25,103,19,2,1,1,12,18.4,11.7,".258",".337",".340","0.677","0.079",".310","0","2",".303"
"Tucker, Cole",657061,2020,23,116,20,3,0,1,5,26.7,4.3,".220",".275",".252","0.527","0.055",".295","0","1",".233"
"Barnes, Austin",605131,2020,30,104,17,3,0,1,13,23.1,12.5,".244",".314",".353","0.667","0.070",".323","0","1",".306"
"Greene, Riley",682985,2022,21,418,68,18,4,5,36,28.7,8.6,".253",".362",".321","0.683","0.109",".354","0","3",".303"
"Hayes, Ke'Bryan",663647,2021,24,396,65,20,2,6,31,22,7.8,".257",".373",".316","0.689","0.116",".321","0","2",".301"
"Varsho, Daulton",662139,2022,25,592,72,23,3,27,46,24.5,7.8,".235",".443",".302","0.745","0.208",".269","0","5",".323"
"Díaz, Yandy",650490,2021,29,541,85,20,1,13,69,15.7,12.8,".256",".387",".353","0.740","0.131",".286","4","4",".325"
"Lowe, Josh",666139,2022,24,198,24,12,2,2,15,33.3,7.6,".221",".343",".284","0.627","0.122",".336","1","0",".276"
"Moreland, Mitch",519048,2021,35,252,30,11,1,10,18,23,7.1,".227",".415",".286","0.701","0.188",".256","0","3",".300"
"Bote, David",623520,2021,28,327,38,10,2,8,27,22.3,8.3,".199",".330",".276","0.606","0.131",".235","0","3",".268"
"Madrigal, Nick",663611,2021,24,215,45,10,4,2,11,7.9,5.1,".305",".425",".349","0.774","0.120",".324","0","1",".335"
"González, Luis",670768,2022,26,350,55,17,2,4,30,21.4,8.6,".251",".357",".320","0.677","0.106",".312","1","5",".299"
"O'Hearn, Ryan",656811,2021,27,254,38,5,1,9,13,28,5.1,".225",".369",".268","0.637","0.144",".277","0","3",".274"
"Kiermaier, Kevin",595281,2021,31,390,60,19,7,4,33,25.4,8.5,".259",".388",".328","0.716","0.129",".345","2","4",".310"
"Zimmer, Bradley",605548,2022,29,117,6,5,0,2,5,38.5,4.3,".124",".229",".207","0.436","0.105",".190","0","0",".203"
"Santana, Carlos",467793,2022,36,506,50,18,0,19,71,17.4,14,".202",".376",".316","0.692","0.174",".209","2","2",".308"
"Anderson, Tim",641313,2021,28,551,115,29,2,17,22,21.6,4,".309",".469",".338","0.807","0.160",".372","1","1",".345"
"Correa, Carlos",621043,2021,26,640,94,34,1,26,75,18.1,11.7,".279",".485",".366","0.851","0.206",".308","2","6",".364"
"Ortega, Rafael",542364,2021,30,330,59,14,2,11,30,21.2,9.1,".291",".463",".360","0.823","0.172",".349","1","0",".355"
"Burger, Jake",669394,2022,26,183,24,9,1,8,10,30.6,5.5,".250",".458",".302","0.760","0.208",".324","1","1",".327"
"Santana, Danny",542454,2020,29,63,3,4,0,1,7,38.1,11.1,".145",".273",".238","0.511","0.128",".226","0","1",".230"
"Bichette, Bo",666182,2022,24,697,121,43,1,24,41,22.2,5.9,".290",".469",".333","0.802","0.179",".347","0","2",".347"
"De La Cruz, Bryan",650559,2022,25,355,50,20,0,13,19,25.4,5.4,".252",".432",".294","0.726","0.180",".304","0","4",".313"
"Stassi, Max",545358,2021,30,319,43,11,1,13,28,31.7,8.8,".241",".426",".326","0.752","0.185",".325","0","1",".327"
"Chapman, Matt",656305,2020,27,152,12,9,2,10,8,35.5,5.3,".232",".535",".276","0.811","0.303",".291","0","1",".335"
"Duvall, Adam",594807,2020,31,209,21,8,0,16,15,25.8,7.2,".237",".532",".301","0.833","0.295",".240","0","1",".348"
"Bruce, Jay",457803,2020,33,103,7,4,2,6,7,23.3,6.8,".198",".469",".252","0.721","0.271",".197","1","0",".297"
"Hoerner, Nico",663538,2022,25,517,98,22,5,10,28,11,5.4,".281",".410",".327","0.737","0.129",".300","4","2",".320"
"Nola, Austin",543592,2021,31,194,33,12,0,2,14,9.8,7.2,".272",".376",".340","0.716","0.104",".292","0","2",".316"
"Varsho, Daulton",662139,2021,24,315,40,17,2,11,30,21.3,9.5,".246",".437",".318","0.755","0.191",".286","3","0",".322"
"Owings, Chris",572008,2022,30,68,4,2,0,0,10,35.3,14.7,".107",".143",".254","0.397","0.036",".188","0","0",".204"
"Bregman, Alex",608324,2021,27,400,65,17,0,12,44,13.3,11,".270",".422",".355","0.777","0.152",".286","4","4",".336"
"Slater, Austin",596103,2022,29,325,49,15,2,7,40,27.4,12.3,".264",".408",".366","0.774","0.144",".361","0","2",".344"
"McCarthy, Jake",664983,2021,23,70,8,3,0,2,8,32.9,11.4,".220",".373",".333","0.706","0.153",".324","0","0",".315"
"Cameron, Daz",663662,2021,24,115,11,5,0,4,10,33,8.7,".194",".359",".278","0.637","0.165",".262","0","0",".281"
"Taveras, Leody",665750,2021,22,185,17,6,2,3,9,32.4,4.9,".161",".270",".207","0.477","0.109",".225","0","0",".209"
"Higashioka, Kyle",543309,2022,32,248,35,7,0,10,12,21,4.8,".227",".389",".264","0.653","0.162",".246","0","4",".282"
"Rosario, Eddie",592696,2020,28,231,34,7,0,13,19,14.7,8.2,".257",".476",".316","0.792","0.219",".248","2","2",".333"
"Adrianza, Ehire",501303,2021,31,209,29,9,2,5,21,20.1,10,".247",".401",".327","0.728","0.154",".290","0","3",".316"
"Rortvedt, Ben",666163,2021,23,98,11,1,0,3,6,29.6,6.1,".169",".281",".229","0.510","0.112",".211","0","0",".227"
"Solano, Donovan",456781,2022,34,304,59,16,0,4,19,20.1,6.3,".284",".385",".339","0.724","0.101",".349","1","2",".319"
"Urshela, Gio",570482,2022,30,551,100,27,3,13,41,17.4,7.4,".285",".429",".338","0.767","0.144",".326","2","7",".332"
"Bogaerts, Xander",593428,2021,28,603,98,34,1,23,62,18.7,10.3,".295",".493",".370","0.863","0.198",".333","2","7",".368"
"Jansen, Danny",643376,2021,26,205,17,13,0,11,17,21.5,8.3,".223",".473",".299","0.772","0.250",".233","0","0",".329"
"Jeffers, Ryan",680777,2020,23,62,12,0,0,3,5,30.6,8.1,".273",".436",".355","0.791","0.163",".364","0","0",".346"
"García, Luis",671277,2021,21,247,31,18,2,6,11,17.4,4.5,".242",".411",".275","0.686","0.169",".273","1","0",".291"
"O'Grady, Brian",657434,2021,29,61,3,3,0,2,8,27.9,13.1,".157",".333",".267","0.600","0.176",".182","0","1",".265"
"Merrifield, Whit",593160,2022,33,550,86,28,1,11,38,15.5,6.9,".250",".375",".298","0.673","0.125",".276","0","8",".294"
"Hicks, Aaron",543305,2022,32,453,64,9,2,8,62,24.1,13.7,".216",".313",".330","0.643","0.097",".279","3","2",".292"
"Happ, Ian",664023,2020,25,231,27,11,1,12,30,27.3,13,".258",".505",".361","0.866","0.247",".317","1","0",".369"
"Hampson, Garrett",641658,2021,26,494,68,21,6,11,33,23.9,6.7,".234",".380",".289","0.669","0.146",".291","2","2",".288"
"Ozuna, Marcell",542303,2021,30,208,27,6,0,7,19,22.1,9.1,".213",".356",".288","0.644","0.143",".244","0","0",".284"
"Tucker, Kyle",663656,2020,23,228,29,12,6,9,18,20.2,7.9,".268",".512",".325","0.837","0.244",".303","2","1",".349"
"Donovan, Brendan",680977,2022,25,468,83,21,1,5,60,15,12.8,".281",".379",".394","0.773","0.098",".330","1","2",".349"
"Blackmon, Charlie",453568,2022,35,577,96,22,6,16,32,18.9,5.5,".264",".419",".314","0.733","0.155",".304","4","3",".317"
"Hilliard, Sam",656541,2020,26,114,12,2,2,6,9,36.8,7.9,".210",".438",".272","0.710","0.228",".281","0","0",".301"
"Lagares, Juan",501571,2021,32,327,45,20,2,6,12,23.2,3.7,".236",".372",".266","0.638","0.136",".294","0","1",".274"
"Goldschmidt, Paul",502671,2020,32,231,39,13,0,6,37,18.6,16,".304",".466",".417","0.883","0.162",".364","0","1",".387"
"France, Ty",664034,2020,25,155,29,9,1,4,11,23.9,7.1,".305",".468",".368","0.836","0.163",".390","0","0",".362"
"Betts, Mookie",605141,2020,27,246,38,9,1,16,24,15.4,9.8,".292",".562",".366","0.928","0.270",".289","1","1",".390"
"Kiner-Falefa, Isiah",643396,2020,25,228,49,4,3,3,14,14,6.1,".280",".370",".329","0.699","0.090",".316","0","1",".307"
"Gurriel Jr., Lourdes",666971,2020,26,224,39,14,0,11,14,21.4,6.3,".308",".534",".348","0.882","0.226",".351","0","2",".372"
"Phillips, Brett",621433,2020,26,59,6,0,2,2,8,25.4,13.6,".196",".392",".305","0.697","0.196",".235","0","0",".304"
"Osuna, José",591741,2020,27,82,9,3,0,4,4,19.5,4.9,".205",".397",".244","0.641","0.192",".207","0","0",".273"
"Realmuto, J.T.",592663,2020,29,195,29,6,0,11,16,24.6,8.2,".266",".491",".349","0.840","0.225",".307","0","0",".361"
"Alvarez, Eddy",657193,2021,31,74,6,4,1,1,4,24.3,5.4,".188",".328",".297","0.625","0.140",".244","1","0",".277"
"Bride, Jonah",681146,2022,26,187,28,4,0,1,19,17.1,10.2,".204",".247",".301","0.548","0.043",".246","0","1",".257"
"Bumgarner, Madison",518516,2021,31,52,3,1,0,0,9,55.8,17.3,".103",".128",".280","0.408","0.025",".364","0","1",".217"
"Marchán, Rafael",665561,2021,22,56,9,1,1,1,4,17.9,7.1,".231",".346",".286","0.632","0.115",".268","0","0",".277"
"Barrero, José",676480,2020,22,68,13,0,0,0,1,38.2,1.5,".194",".194",".206","0.400","0.000",".317","0","0",".179"
"Siri, Jose",642350,2022,26,325,42,13,2,7,20,33.2,6.2,".213",".339",".268","0.607","0.126",".305","0","1",".268"
"Dalbec, Bobby",666915,2022,27,353,45,9,2,12,29,33.4,8.2,".215",".369",".283","0.652","0.154",".293","0","4",".287"
"Groshans, Jordan",677954,2022,22,65,15,0,0,1,4,20,6.2,".262",".311",".308","0.619","0.049",".319","0","0",".278"
"Walker, Christian",572233,2021,30,445,64,23,1,10,38,23.8,8.5,".244",".382",".315","0.697","0.138",".307","1","2",".304"
"Seager, Corey",608369,2021,27,409,67,22,3,16,48,16.1,11.7,".306",".521",".394","0.915","0.215",".336","2","3",".389"
"Narváez, Omar",553882,2021,29,445,73,20,0,11,41,18.9,9.2,".266",".402",".342","0.744","0.136",".308","3","6",".322"
"Gonzalez, Marwin",503556,2021,32,307,36,14,0,5,20,25.4,6.5,".199",".304",".275","0.579","0.105",".258","0","1",".259"
"Alberto, Hanser",593643,2021,28,255,40,20,3,2,4,10.2,1.6,".270",".402",".291","0.693","0.132",".293","0","2",".296"
"Burnes, Corbin",669203,2021,26,59,8,0,0,0,3,44.1,5.1,".154",".154",".200","0.354","0.000",".308","0","0",".166"
"Caratini, Victor",605170,2021,27,356,55,9,0,7,35,23,9.8,".227",".323",".309","0.632","0.096",".281","8","4",".273"
"Margot, Manuel",622534,2022,27,363,68,18,2,4,24,18.7,6.6,".274",".375",".325","0.700","0.101",".332","1","1",".308"
"Gurriel Jr., Yuli",493329,2021,37,605,123,31,0,15,59,11.2,9.8,".319",".462",".383","0.845","0.143",".336","2","12",".363"
"Carpenter, Matt",572761,2021,35,249,20,11,1,3,35,30.9,14.1,".169",".275",".305","0.580","0.106",".250","1","1",".269"
"Thompson, Bubba",669352,2022,24,181,39,5,0,1,7,30.9,3.9,".265",".312",".302","0.614","0.047",".389","0","0",".274"
"Garver, Mitch",641598,2021,30,243,25,15,0,13,31,29.2,12.8,".256",".517",".358","0.875","0.261",".320","0","2",".372"
"Culberson, Charlie",518586,2021,32,271,38,15,2,5,17,23.6,6.3,".243",".381",".296","0.677","0.138",".307","1","1",".292"
"Stanton, Giancarlo",519317,2021,31,579,85,19,0,35,63,27.1,10.9,".273",".516",".354","0.870","0.243",".324","1","3",".370"
"Castellanos, Nick",592206,2021,29,585,91,38,1,34,41,20.7,7,".309",".576",".362","0.938","0.267",".340","5","6",".391"
"Margot, Manuel",622534,2021,26,464,76,18,3,10,37,15.1,8,".254",".382",".313","0.695","0.128",".281","2","4",".301"
"Bryant, Kris",592178,2020,28,147,17,5,1,4,12,27.2,8.2,".206",".351",".293","0.644","0.145",".264","0","0",".285"
"Tauchman, Mike",643565,2020,29,111,17,6,0,0,14,23.4,12.6,".242",".305",".342","0.647","0.063",".329","3","1",".286"
"Flores, Wilmer",527038,2021,29,436,67,16,1,18,41,12.8,9.4,".262",".447",".335","0.782","0.185",".264","0","3",".337"
"Kiermaier, Kevin",595281,2020,30,159,19,5,3,3,20,26.4,12.6,".217",".362",".321","0.683","0.145",".290","1","0",".301"
"Sierra, Magneuris",642423,2021,25,225,41,6,1,0,15,22.2,6.7,".230",".268",".281","0.549","0.038",".302","4","0",".239"
"Renfroe, Hunter",592669,2020,28,139,6,5,0,8,14,26.6,10.1,".156",".393",".252","0.645","0.237",".141","0","1",".277"
"Gardner, Brett",458731,2020,36,158,18,5,1,5,26,22.2,16.5,".223",".392",".354","0.746","0.169",".264","0","1",".332"
"Reyes, Victor",622682,2022,27,336,55,19,3,3,13,22.9,3.9,".254",".362",".289","0.651","0.108",".322","0","4",".284"
"Duffy, Matt",622110,2022,31,247,47,8,0,2,17,20.2,6.9,".250",".311",".308","0.619","0.061",".313","0","0",".279"
"Trevino, Jose",624431,2020,27,83,9,8,0,2,3,18.1,3.6,".250",".434",".280","0.714","0.184",".279","0","2",".300"
"Chavis, Michael",656308,2022,26,426,59,16,3,14,19,29.6,4.5,".229",".389",".265","0.654","0.160",".294","1","4",".282"
"Rosario, Eddie",592696,2021,29,412,62,19,3,14,26,14.8,6.3,".259",".435",".305","0.740","0.176",".273","0","4",".316"
"Hicks, Aaron",543305,2021,31,126,14,3,0,4,14,23.8,11.1,".194",".333",".294","0.627","0.139",".224","0","2",".279"
