Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2017,"Grant Kay","TBR","AA",24,472,0.093220338,0.186440677,0.5,0.261390887,0.336864406,0.42206235,0.758926756,0.160671463,6.438027829699639,0.311926605,1.2477356997842435,60.29651767353479,9.927476707500853,0.3472047573176481,118.73131233257644,"sa829446"
2016,"J.P. Sportman","OAK","AA",24,515,0.050485436,0.1592233,0.31707317,0.267080745,0.309338521,0.378881987,0.688220508,0.111801242,6.3443768523192405,0.312342569,1.2752708230837015,54.81798223422496,-2.114708207383466,0.30919867008924484,89.25236544170069,"sa829450"
2017,"J.P. Sportman","OAK","AA",25,558,0.064516129,0.20250896,0.31858407,0.274853801,0.326750448,0.417153996,0.743904444,0.142300195,5.506967278752025,0.329923273,-0.7345129582099617,69.1756058209566,4.820054667535206,0.3362788254097505,102.50448222820177,"sa829450"
2018,"J.P. Sportman","OAK","AA",26,428,0.051401869,0.193925233,0.26506024,0.27680798,0.31542056,0.446384039,0.761804599,0.169576059,5.422205568399182,0.318181818,-2.0179187495959923,54.65328906376041,2.5164420743671716,0.3361717676111351,99.3792637775491,"sa829450"
2019,"Dom Thompson-Williams","SEA","AA",24,479,0.073068893,0.317327766,0.230263157,0.233796296,0.29769392,0.391203703,0.688897623,0.157407407,6.192051211543255,0.327205882,1.984705286566168,50.76276033217877,-5.951849663305581,0.30690424172621195,99.19204865704577,"sa829483"
2017,"Jared James","ATL","AA",23,383,0.086161879,0.159268929,0.540983606,0.279411764,0.352480417,0.414705882,0.767186299,0.135294118,3.9775120981778898,0.324909747,-0.5953087178932037,50.005270814433054,9.13378206445213,0.35101535251447225,123.45471097424678,"sa829527"
2017,"Luke Tendler","TEX","AA",25,464,0.088362068,0.224137931,0.394230769,0.245238095,0.314655172,0.404761904,0.719417076,0.159523809,2.7916586982335527,0.296052631,-0.8363510626368225,53.832693430942996,0.31839999870727637,0.32606162648994,95.89601123798403,"sa829644"
2018,"Luke Tendler","BOS","AA",26,418,0.078947368,0.224880382,0.351063829,0.272727272,0.334928229,0.44117647,0.776104699,0.168449198,1.445828270837592,0.32103321,-0.6763982861302793,56.94970708665277,7.18603011545564,0.3467608224287879,110.78429204558,"sa829644"
2019,"Luke Tendler","BOS","AA",27,461,0.084598698,0.236442516,0.357798165,0.234866828,0.304157549,0.375302663,0.679460212,0.140435835,2.8836463342354017,0.291525423,-1.1179554084665142,49.985373662324136,0.10553832492370427,0.3098963619324199,98.47664056306446,"sa829644"
2021,"Andrew Bechtold","MIN","AA",25,400,0.1125,0.3275,0.34351145,0.239316239,0.3275,0.458689458,0.786189458,0.219373219,2.246746438027825,0.323529411,-0.34012340230401605,56.43728881611306,4.271434838909698,0.3473700998723507,104.80694302296634,"sa829787"
2021,"Riley Mahan","MIA","AA",25,304,0.075657894,0.345394736,0.219047619,0.203636363,0.269736842,0.323636363,0.593373205,0.12,3.0172495540577695,0.299401197,-1.1400901227025315,24.020182907910215,-13.128213107257022,0.2669426696528696,64.1469393091765,"sa829844"
2016,"Nick Schulz","SDP","AA",25,446,0.096412556,0.226457399,0.425742574,0.282442748,0.366292134,0.422391857,0.788683991,0.139949109,2.7437392903144477,0.358156028,-0.5537995073318598,63.93879388118437,14.63397846961668,0.3577768879335029,133.43402698594616,"sa829877"
2016,"Roemon Fields","TOR","AA",25,556,0.080935251,0.176258992,0.459183673,0.227364185,0.294871794,0.295774647,0.590646441,0.068410462,7.232157216740522,0.275252525,2.3934280066750944,42.73084356268537,-21.70015011350024,0.2771112138316745,62.074609797776425,"sa829879"
2019,"Andretty Cordero","TEX","AA",22,534,0.052434456,0.183520599,0.285714285,0.27,0.312734082,0.408,0.720734082,0.138,2.3266258266157984,0.30670103,-0.2650377950631082,63.96790282558202,0.7411768598437274,0.32447280620367785,99.04608216544229,"sa830037"
2017,"Blake Allemand","MIL","AA",24,370,0.07027027,0.172972972,0.40625,0.25595238,0.31081081,0.383928571,0.694739381,0.127976191,3.5963011926751807,0.295202952,-0.38844552863156423,39.464259029174265,-0.019946812843860514,0.3186622999809884,100.5195819286417,"sa857217"
2018,"Ryan Howard","SFG","AA",23,475,0.082105263,0.115789473,0.709090909,0.272511848,0.336170212,0.395734597,0.731904809,0.123222749,4.703679856910409,0.301630434,-0.3287179588805884,58.800265558696935,2.2506326368820115,0.330988966325707,108.08511435726058,"sa857225"
2018,"Zander Wiel","MIN","AA",25,435,0.091954022,0.188505747,0.487804878,0.310880829,0.381609195,0.445595854,0.827205049,0.134715025,4.344606828470832,0.376666666,-0.4372638603672385,68.04506709652124,17.594234103729107,0.373078885598415,127.65423504868872,"sa857249"
2018,"Zach Gibbons","LAA","AA",24,440,0.095454545,0.134090909,0.711864406,0.260759493,0.329545454,0.364556962,0.694102416,0.103797469,5.042706917463589,0.295522388,-1.199237630236894,49.656420194953576,-1.3743074299396105,0.3166064971917281,92.28968215952318,"sa857717"
2018,"Brennon Lund","LAA","AA",23,453,0.094922737,0.225165562,0.421568627,0.264339152,0.342920353,0.403990024,0.746910377,0.139650872,7.479343192494021,0.334470989,1.7742739277891815,59.87500342841493,7.336549760058985,0.34164633885421586,108.6392753058917,"sa857730"
2017,"Jordan Tarsovich","OAK","AA",26,399,0.120300751,0.197994987,0.607594936,0.240469208,0.335858585,0.328445747,0.664304332,0.087976539,6.244017666618361,0.300380228,0.3359278403222561,41.80326785665213,-4.214411193912639,0.3116084976930811,85.94689840860565,"sa857752"
2018,"Errol Robinson","LAD","AA",23,475,0.077894736,0.218947368,0.35576923,0.247113163,0.309473684,0.353348729,0.662822413,0.106235566,4.712379202732819,0.302180685,-0.3432201916584745,47.93323959622327,-9.928915356958473,0.30295779667402567,81.14381244067114,"sa857819"
2019,"Preston Palmeiro","BAL","AA",24,384,0.067708333,0.221354166,0.305882352,0.237142857,0.28871391,0.345714285,0.634428195,0.108571428,3.882765673248841,0.295454545,0.00024058466078713536,35.72151064815691,-5.826985598180978,0.2891818829408781,79.17729660507837,"sa857823"
2022,"Preston Palmeiro","LAA","AA",27,463,0.101511879,0.177105831,0.573170731,0.262899262,0.343412526,0.398034398,0.741446924,0.135135136,1.8782076089367998,0.308411214,-1.688493013381958,59.63934859917628,-1.1415275008870434,0.3372368287319241,100.16575725011118,"sa857823"
2018,"Anderson Miller","KCR","AA",24,470,0.070212765,0.176595744,0.397590361,0.254629629,0.307692307,0.414351851,0.722044158,0.159722222,4.769174732200715,0.286982248,-1.4999301125644706,54.09688336452281,-3.156196273362282,0.3205524388812642,90.75200420347144,"sa857824"
2019,"Logan Taylor","SEA","AA",25,423,0.061465721,0.312056737,0.196969696,0.211886304,0.267139479,0.30749354,0.574633019,0.095607236,3.5002714228478604,0.296442687,-0.612185902427882,30.114850892323336,-19.969241024357004,0.262665925150234,69.96101658284016,"sa857838"
2019,"Kyle Holder","NYY","AA",25,472,0.086864406,0.137711864,0.63076923,0.264563106,0.336244541,0.405339805,0.741584346,0.140776699,4.768950555672609,0.29498525,0.9916900366079062,60.79922386368556,9.729197227561901,0.3373084858679406,123.98275609800773,"sa857840"
