Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2015,"Narciso Crook","CIN","A",19,402,0.037313432,0.256218905,0.145631067,0.236220472,0.27,0.383202099,0.653202099,0.146981627,6.8343812841417115,0.3,1.3572417625691742,39.24795971797028,-5.703373745221707,0.3013437093794346,85.78837249246844,"17473"
2016,"Eloy Jimenez","CHC","A",19,464,0.05387931,0.202586206,0.265957446,0.328703703,0.368534482,0.532407407,0.900941889,0.203703704,4.981503750235067,0.391437308,0.47874523598875385,81.84359540031545,31.411721840363658,0.40946496192390125,163.1746007602444,"17484"
2016,"Skye Bolt","OAK","A",22,402,0.104477611,0.218905472,0.477272727,0.230994152,0.31840796,0.345029239,0.663437199,0.114035087,4.663941924956815,0.284615384,0.1114655498531647,42.39787074852656,-1.295261085742007,0.3117827168129329,95.64835844644071,"17723"
2016,"Luis Alexander Basabe","BOS","A",19,451,0.088691796,0.257206208,0.344827586,0.258064516,0.325167037,0.446650124,0.771817161,0.188585608,8.015906104612702,0.329749103,2.966977938893251,61.279636874511574,10.192326724245886,0.34804882583745606,118.0724658857615,"17839"
2016,"Brendan Rodgers","COL","A",19,491,0.071283095,0.199592668,0.357142857,0.280542986,0.341513292,0.479638009,0.821151301,0.199095023,3.6822747089223276,0.319148936,-0.04942574672168121,74.97878168993273,19.360446249177837,0.37028566764663823,122.78771523321643,"17907"
2017,"Marcus Wilson","ARI","A",20,447,0.123042505,0.201342281,0.611111111,0.295039164,0.382882882,0.446475195,0.829358077,0.151436031,5.841474547763034,0.361111111,0.11173522598983254,71.18409202519385,18.55257453295913,0.37629943007257727,133.48890817149854,"17910"
2016,"Isan Diaz","MIL","A",20,587,0.12265758,0.252129471,0.486486486,0.264299802,0.357751277,0.469428007,0.827179284,0.205128205,4.818226746643622,0.332361516,-0.8242144469259074,91.3733087925166,27.57264116387069,0.38091834905820016,142.5269022186819,"17922"
2016,"Cedric Mullins","BAL","A",21,559,0.066189624,0.180679785,0.366336633,0.272727272,0.32078853,0.464216634,0.785005164,0.191489362,8.18947562396408,0.313580246,3.5627085611922666,77.74210265955381,14.421024224967287,0.3522745723365456,126.35982093176992,"17929"
2016,"Sam Hilliard","COL","A",22,527,0.106261859,0.284629981,0.373333333,0.266811279,0.347992351,0.449023861,0.797016212,0.182212582,6.846806404727285,0.356902356,1.1795473786769435,76.51064123161217,16.814383029416998,0.3603441806939932,116.14154186379979,"17954"
2016,"Hoy Park","NYY","A",20,517,0.12959381,0.232108317,0.558333333,0.225287356,0.3359375,0.328735632,0.664673132,0.103448276,8.125138741933316,0.303797468,5.136776399507653,56.9226298575417,-1.640872022031164,0.31399816484190524,101.79274828213907,"18027"
